Head;Head;Head;Head;Head;Head;;;;;;;;;;;;;;;;;;
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
-0.001126;0.642655;-0.024487;0.039465;1765720;-0.015402;0.001047;0.692518;0.006539;0.048412;1214819;0.014491;-0.193909;0.180822;-0.932662;-0.089257;0.878676;-0.258418;0.872420;-0.354604;-0.150575;-0.088276;0.871445;0.261834
-0.001121;0.642671;-0.024271;0.039433;1765725;-0.015244;0.001095;0.692497;0.006578;0.048361;1214816;0.014479;-0.193976;0.181114;-0.932621;-0.089700;0.878753;-0.258216;0.872269;-0.354775;-0.150897;-0.088498;0.871388;0.261652
-0.001215;0.642581;-0.024154;0.039355;1765730;-0.015080;0.001069;0.692515;0.006531;0.048256;1214809;0.014481;-0.194350;0.180906;-0.932467;-0.090266;0.878859;-0.258076;0.872303;-0.354792;-0.150842;-0.088721;0.871335;0.261502
-0.001351;0.642525;-0.024184;0.039261;1765729;-0.014906;0.001008;0.692557;0.006561;0.048166;1214815;0.014477;-0.194255;0.180730;-0.932330;-0.091042;0.878996;-0.258020;0.872335;-0.354991;-0.150971;-0.089022;0.871305;0.261480
-0.001561;0.642657;-0.024181;0.039224;1765728;-0.014725;0.000972;0.692627;0.006533;0.048069;1214826;0.014482;-0.194378;0.181318;-0.932023;-0.092057;0.879277;-0.258142;0.872799;-0.354513;-0.150611;-0.089531;0.871415;0.261643
-0.001792;0.642894;-0.024147;0.039215;1765738;-0.014531;0.000970;0.692751;0.006583;0.048014;1214821;0.014517;-0.195073;0.181992;-0.931464;-0.093418;0.879675;-0.258445;0.873031;-0.354575;-0.150174;-0.090225;0.871549;0.261981
-0.001937;0.643073;-0.023977;0.039241;1765737;-0.014367;0.000900;0.692817;0.006558;0.047937;1214823;0.014558;-0.194372;0.182705;-0.931065;-0.095046;0.880220;-0.258848;0.872345;-0.355942;-0.149459;-0.091081;0.871737;0.262465
-0.001924;0.643101;-0.023895;0.039287;1765752;-0.014254;0.000876;0.692886;0.006559;0.047886;1214818;0.014613;-0.193907;0.183182;-0.930809;-0.096769;0.880778;-0.259275;0.871821;-0.356417;-0.150311;-0.091958;0.871966;0.263002
-0.001722;0.643116;-0.023868;0.039357;1765747;-0.014179;0.000859;0.692890;0.006563;0.047833;1214821;0.014669;-0.193834;0.184004;-0.930293;-0.098485;0.881409;-0.259704;0.871662;-0.356989;-0.149713;-0.092982;0.872258;0.263466
-0.001860;0.643218;-0.023865;0.039408;1765766;-0.014047;0.000738;0.692879;0.006497;0.047697;1214824;0.014762;-0.193691;0.184727;-0.929819;-0.100078;0.881988;-0.259975;0.871302;-0.358378;-0.149853;-0.093883;0.872501;0.263852
-0.002113;0.643318;-0.023822;0.039495;1765786;-0.013886;0.000683;0.692896;0.006460;0.047539;1214827;0.014846;-0.193908;0.185756;-0.929202;-0.101457;0.882427;-0.260119;0.871013;-0.358896;-0.149995;-0.094717;0.872733;0.264164
-0.002346;0.643131;-0.023693;0.039616;1765803;-0.013679;0.000629;0.692854;0.006483;0.047389;1214830;0.014934;-0.194344;0.185919;-0.928883;-0.102616;0.882783;-0.260152;0.870647;-0.359471;-0.150421;-0.095481;0.872934;0.264391
-0.002408;0.642837;-0.023429;0.039788;1765790;-0.013459;0.000591;0.692834;0.006477;0.047248;1214824;0.015006;-0.194513;0.186046;-0.928554;-0.103543;0.883068;-0.260013;0.869875;-0.360656;-0.150913;-0.096103;0.873043;0.264491
-0.002426;0.642674;-0.022977;0.039959;1765771;-0.013221;0.000600;0.692760;0.006528;0.047139;1214803;0.015077;-0.194098;0.186055;-0.928419;-0.104213;0.883258;-0.259710;0.869616;-0.361296;-0.151128;-0.096619;0.873183;0.264495
-0.002527;0.642711;-0.022660;0.040088;1765781;-0.012963;0.000568;0.692649;0.006565;0.047007;1214790;0.015153;-0.194551;0.185606;-0.928388;-0.104627;0.883320;-0.259212;0.869781;-0.361390;-0.151505;-0.097071;0.873360;0.264427
-0.002538;0.642842;-0.022577;0.040151;1765774;-0.012717;0.000528;0.692608;0.006517;0.046873;1214781;0.015195;-0.195607;0.185057;-0.928288;-0.104888;0.883291;-0.258589;0.869847;-0.361548;-0.152834;-0.097620;0.873597;0.264190
-0.002702;0.642953;-0.022471;0.040148;1765793;-0.012439;0.000489;0.692629;0.006440;0.046751;1214786;0.015214;-0.196814;0.184324;-0.928077;-0.105087;0.883242;-0.257886;0.869826;-0.362032;-0.155788;-0.098355;0.873978;0.263659
-0.002912;0.642846;-0.022482;0.040095;1765812;-0.012201;0.000531;0.692642;0.006499;0.046727;1214783;0.015256;-0.197722;0.183425;-0.928197;-0.105222;0.883164;-0.257122;0.869980;-0.361911;-0.158085;-0.099431;0.874524;0.262804
